Name,URL
Smarter Every Day,https://www.youtube.com/user/destinws2
Crash Course,https://www.youtube.com/user/crashcourse
Eons,https://www.youtube.com/channel/UCzR-rom72PHN9Zg7RML9EbA
SciShow,https://www.youtube.com/user/scishow
SciShow Space,https://www.youtube.com/user/scishowspace
CGP Grey,https://www.youtube.com/CGPGrey
Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
Kurzgesagt,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
MinutePhysics,https://www.youtube.com/user/minutephysics
MinuteEart,https://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w
Objectivity,https://www.youtube.com/channel/UCtwKon9qMt5YLVgQt1tvJKg
Numberphile,https://www.youtube.com/user/numberphile
Periodic Videos,https://www.youtube.com/user/periodicvideos
KaptainKristian,https://www.youtube.com/channel/UCuPgdqQKpq4T4zeqmTelnFg
Nerdwriter,https://www.youtube.com/user/Nerdwriter1
The Brain Scoop,https://www.youtube.com/thebrainscoop
Geography Now,https://www.youtube.com/channel/UCmmPgObSUPw1HL2lq6H4ffA
Applied Science,https://www.youtube.com/channel/UCivA7_KLKWo43tFcCkFvydw
PBS Infinite Series,https://www.youtube.com/channel/UCs4aHmggTfFrpkPcWSaBN9g
PBS Spacetime,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g
Deep Look,https://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg
Above The Noise,https://www.youtube.com/channel/UC4K10PNjqgGLKA3lo5V8KdQ
BrainCraft,https://www.youtube.com/channel/UCt_t6FwNsqr3WWoL6dFqG9w
Sexplainations,https://www.youtube.com/channel/UCkxMlA7rt-mnIc1AjbyAsPw
How To Adult,https://www.youtube.com/channel/UCFqaprvZ2K5JOULCvr18NTQ
Thought Cafe,https://www.youtube.com/channel/UCwTZ-JLF5FQ3EmQ2nPaS-lg
Mustard,https://www.youtube.com/channel/UC1ZBQ-F-yktYD4m5AzM6pww
Wendover Productions,https://www.youtube.com/user/Wendoverproductions
Feature History,https://www.youtube.com/channel/UCHdluULl5c7bilx1x1TGzJQ
Military History Visualised,https://www.youtube.com/channel/UCK09g6gYGMvU-0x1VCF1hgA
The Great War,https://www.youtube.com/user/TheGreatWar
Alternative History Hub,https://www.youtube.com/user/AlternateHistoryHub
Ten Minute History,https://www.youtube.com/channel/UC22BdTgxefuvUivrjesETjg
Ahoy,https://www.youtube.com/user/XboxAhoy
Simple History,https://www.youtube.com/channel/UC510QYlOlKNyhy_zdQxnGYw
Epic History TV,https://www.youtube.com/channel/UCvPXiKxH-eH9xq-80vpgmKQ
Real Engineering,https://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg
Engineering Explained,https://www.youtube.com/user/EngineeringExplained
Practical Engineering,https://www.youtube.com/user/gradyhillhouse
Company Man,https://www.youtube.com/channel/UCQMyhrt92_8XM0KgZH6VnRg
Brillaint Ideas,https://www.youtube.com/playlist?list=PLqq4LnWs3olUpaD8oXCF7IlLikGBY7HFg
Bllomberg Documentries,https://www.youtube.com/playlist?list=PLqq4LnWs3olWiGnVCSbVaTCI_j8iY5dsK
